,id,name,BRNtype,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,Id,CAT,CAT_ID,H_id,Name_type
332,12468,NGC6440,GCl,4.663859373312465,-0.35534176350082886,Sgr,5.1,,,12.01,10.1,,,,,,0.1144,-1.01,-3.81,-69.0,-0.000231,,,,,,,,MWSC 2701,,,,False,333,NGC,6440,H333,cluster
333,12473,NGC6445,PN,4.665487620060472,-0.34923165667780537,Sgr,0.55,,,13.2,11.2,,,,,,,,,-8.0,-2.7e-05,,19.04,19.0,,,,HD 161944,"ESO 589-009,PN G008.0+03.9",Little Gem,,,False,334,NGC,6445,H334,Box Nebula
334,12479,NGC6451,OCl,4.6717111732848755,-0.5272920862209913,Sco,7.2,,,,8.2,,,,,,0.304,-0.105,-1.335,-23.0,-7.7e-05,,,,,,,,MWSC 2718,,,,False,335,NGC,6451,H335,opej cluster
335,12544,NGC6514,Neb,4.72417795226139,-0.4009350965134129,Sgr,28.0,28.0,,6.3,8.5,,,,,,0.79,0.41,-1.69,-5.0,-1.7e-05,,,,020,,,,"LBN 27,MWSC 2789",Trifid Nebula,,,False,336,NGC,6514,H336,Triffid Nebula
336,12547,NGC6517,GCl,4.720416767723343,-0.15637277433243194,Oph,4.8,,,11.08,,7.02,6.21,6.0,,,0.0449,-1.49,-4.23,-37.0,-0.000124,,,,,,,,"2MASX J18015037-0857343,MWSC 2780",,,,False,337,NGC,6517,H337,cluster
337,12550,NGC6520,OCl,4.727234460113945,-0.48670445446586313,Sgr,5.4,,,,7.6,,,,,,0.556,0.688,-0.418,-28.0,-9.2e-05,,,,,,,,MWSC 2790,,,,False,338,NGC,6520,H338,open cluster
338,12552,NGC6522,GCl,4.727956590091957,-0.5241917027302959,Sgr,3.9,,,10.68,9.48,,,,,,0.0803,2.62,-6.4,-14.0,-4.6e-05,,,,,,,,MWSC 2792,,,,False,339,NGC,6522,H339,cluster
339,12558,NGC6528,GCl,4.733450013912609,-0.5245722814699668,Sgr,3.6,,,12.12,10.65,,,,,,0.1009,-2.17,-5.52,210.0,0.000702,,,,,,,,"ESO 456-048,MWSC 2800",,,,False,340,NGC,6528,H340,cluster
340,12570,NGC6540,GCl,4.739147059479327,-0.48455236653541794,Sgr,4.08,,,,,,,,,,,-3.8,-2.73,-18.0,-6e-05,,,,,,,,MWSC 2804,,,,False,341,NGC,6540,H341,open cluster
341,12573,NGC6543,PN,4.706090523446555,1.1629686341771492,Dra,0.9,,,9.79,9.01,8.95,9.08,8.34,,,0.6152,-0.555,-6.413,-66.0,-0.000219,,11.23,11.14,,,,"BD +66 1066,HD 164963","2MASX J17583335+6637591,C 006,IRAS 17584+6638,PN G096.4+29.9",Cat's Eye Nebula,Additional radio sources may contribute to the WMAP flux.,The fainter outer shell has a diameter of 5.5 arcmin ca.,False,342,NGC,6543,H342,Cats Eye Nebula
